"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"9867",4,11,3,2,"2015-11-03","WN",19393,1603,"MDW","IL",2005,2001,-4,0,0,-1,"2000-2059",12,2013,2208,4,2225,2212,0,0,-1,"2200-2259",0,"",0,80,71,55,402,2,0,0
"9868",4,11,3,2,"2015-11-03","WN",19393,1729,"MDW","IL",1745,1740,-5,0,0,-1,"1700-1759",5,1745,1938,5,2000,1943,0,0,-2,"2000-2059",0,"",0,75,63,53,402,2,0,0
"9869",4,11,3,2,"2015-11-03","WN",19393,136,"PHX","AZ",1430,1451,21,21,1,1,"1400-1459",10,1501,2026,3,2020,2029,9,0,0,"2000-2059",0,"",0,230,218,205,1814,8,0,0
"9870",4,11,3,2,"2015-11-03","WN",19393,379,"MCO","FL",940,937,-3,0,0,-1,"0900-0959",9,946,1141,4,1155,1145,0,0,-1,"1100-1159",0,"",0,135,128,115,834,4,1,1
"9871",4,11,3,2,"2015-11-03","WN",19393,1665,"MCO","FL",2025,2028,3,3,0,0,"2000-2059",7,2035,2225,3,2240,2228,0,0,-1,"2200-2259",0,"",0,135,120,110,834,4,0,0
"9872",4,11,3,2,"2015-11-03","WN",19393,1863,"MCO","FL",1515,1513,-2,0,0,-1,"1500-1559",6,1519,1714,4,1730,1718,0,0,-1,"1700-1759",0,"",0,135,125,115,834,4,0,0
"9873",4,11,3,2,"2015-11-03","WN",19393,2580,"MCO","FL",2215,2208,-7,0,0,-1,"2200-2259",6,2214,3,3,30,6,0,0,-2,"0001-0559",0,"",0,135,118,109,834,4,0,1
"9874",4,11,4,3,"2015-11-04","WN",19393,870,"BWI","MD",1510,1523,13,13,0,0,"1500-1559",13,1536,1611,6,1610,1617,7,0,0,"1600-1659",0,"",0,60,54,35,210,1,0,0
"9875",4,11,4,3,"2015-11-04","WN",19393,1002,"BWI","MD",2230,2224,-6,0,0,-1,"2200-2259",14,2238,2313,5,2330,2318,0,0,-1,"2300-2359",0,"",0,60,54,35,210,1,0,0
"9876",4,11,4,3,"2015-11-04","WN",19393,2250,"BWI","MD",1105,1059,-6,0,0,-1,"1100-1159",9,1108,1146,4,1200,1150,0,0,-1,"1200-1259",0,"",0,55,51,38,210,1,1,0
"9877",4,11,4,3,"2015-11-04","WN",19393,2124,"DAL","TX",2005,2006,1,1,0,0,"2000-2059",21,2027,2332,5,2340,2337,0,0,-1,"2300-2359",0,"",0,155,151,125,1060,5,0,0
"9878",4,11,4,3,"2015-11-04","WN",19393,600,"DEN","CO",1800,1803,3,3,0,0,"1800-1859",16,1819,2251,6,2255,2257,2,0,0,"2200-2259",0,"",0,175,174,152,1290,6,0,0
"9879",4,11,4,3,"2015-11-04","WN",19393,2300,"FLL","FL",1515,1524,9,9,0,0,"1500-1559",14,1538,1751,7,1755,1758,3,0,0,"1700-1759",0,"",0,160,154,133,994,4,0,0
"9880",4,11,4,3,"2015-11-04","WN",19393,2902,"HOU","TX",1350,1436,46,46,1,3,"1300-1359",11,1447,1802,7,1725,1809,44,1,2,"1700-1759",0,"",0,155,153,135,1131,5,0,0
"9881",4,11,4,3,"2015-11-04","WN",19393,3029,"TPA","FL",1000,954,-6,0,0,-1,"1000-1059",8,1002,1207,3,1215,1210,0,0,-1,"1200-1259",0,"",0,135,136,125,873,4,1,0
"9882",4,11,4,3,"2015-11-04","WN",19393,3174,"TPA","FL",1815,1846,31,31,1,2,"1800-1859",12,1858,2050,7,2035,2057,22,1,1,"2000-2059",0,"",0,140,131,112,873,4,0,0
"9883",4,11,5,4,"2015-11-05","WN",19393,111,"ATL","GA",830,826,-4,0,0,-1,"0800-0859",20,846,959,6,1010,1005,0,0,-1,"1000-1059",0,"",0,100,99,73,526,3,1,1
"9884",4,11,5,4,"2015-11-05","WN",19393,229,"ATL","GA",2235,25,110,110,1,7,"2200-2259",21,46,156,5,15,201,106,1,7,"0001-0559",0,"",0,100,96,70,526,3,0,1
"9885",4,11,3,2,"2015-11-03","WN",19393,870,"BWI","MD",1510,1509,-1,0,0,-1,"1500-1559",12,1521,1602,3,1610,1605,0,0,-1,"1600-1659",0,"",0,60,56,41,210,1,0,0
"9886",4,11,3,2,"2015-11-03","WN",19393,1002,"BWI","MD",2230,2226,-4,0,0,-1,"2200-2259",18,2244,2322,5,2330,2327,0,0,-1,"2300-2359",0,"",0,60,61,38,210,1,0,0
"9887",4,11,3,2,"2015-11-03","WN",19393,2250,"BWI","MD",1105,1100,-5,0,0,-1,"1100-1159",13,1113,1151,4,1200,1155,0,0,-1,"1200-1259",0,"",0,55,55,38,210,1,1,0
"9888",4,11,3,2,"2015-11-03","WN",19393,2124,"DAL","TX",2005,2001,-4,0,0,-1,"2000-2059",20,2021,2331,4,2340,2335,0,0,-1,"2300-2359",0,"",0,155,154,130,1060,5,0,0
"9889",4,11,3,2,"2015-11-03","WN",19393,600,"DEN","CO",1800,1758,-2,0,0,-1,"1800-1859",11,1809,2238,3,2255,2241,0,0,-1,"2200-2259",0,"",0,175,163,149,1290,6,0,0
"9890",4,11,4,3,"2015-11-04","WN",19393,783,"LAS","NV",820,819,-1,0,0,-1,"0800-0859",44,903,1534,6,1525,1540,15,1,1,"1500-1559",0,"",0,245,261,211,1910,8,1,0
"9891",4,11,4,3,"2015-11-04","WN",19393,2537,"LAS","NV",1845,1854,9,9,0,0,"1800-1859",14,1908,137,2,145,139,0,0,-1,"0001-0559",0,"",0,240,225,209,1910,8,0,1
"9892",4,11,4,3,"2015-11-04","WN",19393,379,"MCO","FL",940,1032,52,52,1,3,"0900-0959",8,1040,1238,5,1155,1243,48,1,3,"1100-1159",0,"",0,135,131,118,834,4,1,1
"9893",4,11,4,3,"2015-11-04","WN",19393,1665,"MCO","FL",2025,2049,24,24,1,1,"2000-2059",12,2101,2254,5,2240,2259,19,1,1,"2200-2259",0,"",0,135,130,113,834,4,0,0
"9894",4,11,4,3,"2015-11-04","WN",19393,1863,"MCO","FL",1515,1535,20,20,1,1,"1500-1559",10,1545,1735,7,1730,1742,12,0,0,"1700-1759",0,"",0,135,127,110,834,4,0,0
"9895",4,11,4,3,"2015-11-04","WN",19393,2580,"MCO","FL",2215,2212,-3,0,0,-1,"2200-2259",8,2220,9,6,30,15,0,0,-1,"0001-0559",0,"",0,135,123,109,834,4,0,1
"9896",4,11,4,3,"2015-11-04","WN",19393,1035,"MDW","IL",1555,1551,-4,0,0,-1,"1500-1559",7,1558,1753,5,1810,1758,0,0,-1,"1800-1859",0,"",0,75,67,55,402,2,0,0
"9897",4,11,4,3,"2015-11-04","WN",19393,1224,"MDW","IL",2240,2303,23,23,1,1,"2200-2259",8,2311,103,3,100,106,6,0,0,"0001-0559",0,"",0,80,63,52,402,2,0,1
"9898",4,11,4,3,"2015-11-04","WN",19393,1541,"MDW","IL",650,NA,NA,NA,NA,NA,"0600-0659",NA,NA,NA,NA,910,NA,NA,NA,NA,"0900-0959",1,"B",0,80,NA,NA,402,2,1,1
"9899",4,11,4,3,"2015-11-04","WN",19393,1598,"MDW","IL",1145,1144,-1,0,0,-1,"1100-1159",7,1151,1345,5,1400,1350,0,0,-1,"1400-1459",0,"",0,75,66,54,402,2,1,0
"9900",4,11,4,3,"2015-11-04","WN",19393,1603,"MDW","IL",2005,2020,15,15,1,1,"2000-2059",7,2027,2221,6,2225,2227,2,0,0,"2200-2259",0,"",0,80,67,54,402,2,0,0
"9901",4,11,4,3,"2015-11-04","WN",19393,1729,"MDW","IL",1745,1746,1,1,0,0,"1700-1759",9,1755,1951,4,2000,1955,0,0,-1,"2000-2059",0,"",0,75,69,56,402,2,0,0
"9902",4,11,3,2,"2015-11-03","WN",19393,3029,"TPA","FL",1000,959,-1,0,0,-1,"1000-1059",9,1008,1209,3,1215,1212,0,0,-1,"1200-1259",0,"",0,135,133,121,873,4,1,0
"9903",4,11,3,2,"2015-11-03","WN",19393,3174,"TPA","FL",1815,1822,7,7,0,0,"1800-1859",9,1831,2029,5,2035,2034,0,0,-1,"2000-2059",0,"",0,140,132,118,873,4,0,0
"9904",4,11,4,3,"2015-11-04","WN",19393,111,"ATL","GA",830,824,-6,0,0,-1,"0800-0859",38,902,1013,4,1010,1017,7,0,0,"1000-1059",0,"",0,100,113,71,526,3,1,1
"9905",4,11,4,3,"2015-11-04","WN",19393,229,"ATL","GA",2235,2320,45,45,1,3,"2200-2259",10,2330,39,5,15,44,29,1,1,"0001-0559",0,"",0,100,84,69,526,3,0,1
"9906",4,11,4,3,"2015-11-04","WN",19393,212,"BNA","TN",2220,2216,-4,0,0,-1,"2200-2259",9,2225,27,6,40,33,0,0,-1,"0001-0559",0,"",0,80,77,62,462,2,0,1
"9907",4,11,5,4,"2015-11-05","WN",19393,2124,"DAL","TX",2005,2310,185,185,1,12,"2000-2059",13,2323,223,3,2340,226,166,1,11,"2300-2359",0,"",0,155,136,120,1060,5,0,0
"9908",4,11,5,4,"2015-11-05","WN",19393,600,"DEN","CO",1800,1836,36,36,1,2,"1800-1859",9,1845,2311,7,2255,2318,23,1,1,"2200-2259",0,"",0,175,162,146,1290,6,0,0
"9909",4,11,5,4,"2015-11-05","WN",19393,2300,"FLL","FL",1515,1516,1,1,0,0,"1500-1559",14,1530,1749,8,1755,1757,2,0,0,"1700-1759",0,"",0,160,161,139,994,4,0,0
"9910",4,11,5,4,"2015-11-05","WN",19393,2902,"HOU","TX",1350,1416,26,26,1,1,"1300-1359",16,1432,1741,8,1725,1749,24,1,1,"1700-1759",0,"",0,155,153,129,1131,5,0,0
"9911",4,11,5,4,"2015-11-05","WN",19393,212,"BNA","TN",2220,2354,94,94,1,6,"2200-2259",7,1,158,6,40,204,84,1,5,"0001-0559",0,"",0,80,70,57,462,2,0,1
"9912",4,11,5,4,"2015-11-05","WN",19393,870,"BWI","MD",1510,1524,14,14,0,0,"1500-1559",14,1538,1613,5,1610,1618,8,0,0,"1600-1659",0,"",0,60,54,35,210,1,0,0
"9913",4,11,5,4,"2015-11-05","WN",19393,1002,"BWI","MD",2230,39,129,129,1,8,"2200-2259",8,47,123,5,2330,128,118,1,7,"2300-2359",0,"",0,60,49,36,210,1,0,0
"9914",4,11,5,4,"2015-11-05","WN",19393,2250,"BWI","MD",1105,1106,1,1,0,0,"1100-1159",9,1115,1151,6,1200,1157,0,0,-1,"1200-1259",0,"",0,55,51,36,210,1,1,0
"9941",4,11,5,4,"2015-11-05","WN",19393,669,"RSW","FL",1445,1438,-7,0,0,-1,"1400-1459",8,1446,1652,7,1710,1659,0,0,-1,"1700-1759",0,"",0,145,141,126,966,4,0,0
"9942",4,11,5,4,"2015-11-05","WN",19393,3029,"TPA","FL",1000,957,-3,0,0,-1,"1000-1059",11,1008,1207,6,1215,1213,0,0,-1,"1200-1259",0,"",0,135,136,119,873,4,1,0
"9943",4,11,5,4,"2015-11-05","WN",19393,3174,"TPA","FL",1815,1931,76,76,1,5,"1800-1859",10,1941,2137,7,2035,2144,69,1,4,"2000-2059",0,"",0,140,133,116,873,4,0,0
"9944",4,11,6,5,"2015-11-06","WN",19393,111,"ATL","GA",830,837,7,7,0,0,"0800-0859",21,858,1011,6,1010,1017,7,0,0,"1000-1059",0,"",0,100,100,73,526,3,1,1
"9945",4,11,6,5,"2015-11-06","WN",19393,229,"ATL","GA",2235,2238,3,3,0,0,"2200-2259",13,2251,2357,5,15,2,0,0,-1,"0001-0559",0,"",0,100,84,66,526,3,0,1
"9946",4,11,6,5,"2015-11-06","WN",19393,1035,"MDW","IL",1555,1549,-6,0,0,-1,"1500-1559",14,1603,1758,8,1810,1806,0,0,-1,"1800-1859",0,"",0,75,77,55,402,2,0,0
"9947",4,11,6,5,"2015-11-06","WN",19393,1224,"MDW","IL",2240,2235,-5,0,0,-1,"2200-2259",9,2244,38,6,100,44,0,0,-2,"0001-0559",0,"",0,80,69,54,402,2,0,1
"9948",4,11,6,5,"2015-11-06","WN",19393,1541,"MDW","IL",650,646,-4,0,0,-1,"0600-0659",9,655,851,6,910,857,0,0,-1,"0900-0959",0,"",0,80,71,56,402,2,1,1
"9949",4,11,6,5,"2015-11-06","WN",19393,1598,"MDW","IL",1145,1138,-7,0,0,-1,"1100-1159",11,1149,1344,7,1400,1351,0,0,-1,"1400-1459",0,"",0,75,73,55,402,2,1,0
"9950",4,11,6,5,"2015-11-06","WN",19393,1603,"MDW","IL",2005,2029,24,24,1,1,"2000-2059",11,2040,2232,6,2225,2238,13,0,0,"2200-2259",0,"",0,80,69,52,402,2,0,0
"9951",4,11,6,5,"2015-11-06","WN",19393,1729,"MDW","IL",1745,1745,0,0,0,0,"1700-1759",10,1755,1950,4,2000,1954,0,0,-1,"2000-2059",0,"",0,75,69,55,402,2,0,0
"9952",4,11,5,4,"2015-11-05","WN",19393,379,"MCO","FL",940,959,19,19,1,1,"0900-0959",8,1007,1204,7,1155,1211,16,1,1,"1100-1159",0,"",0,135,132,117,834,4,1,1
"9953",4,11,5,4,"2015-11-05","WN",19393,1665,"MCO","FL",2025,2050,25,25,1,1,"2000-2059",9,2059,2250,8,2240,2258,18,1,1,"2200-2259",0,"",0,135,128,111,834,4,0,0
"9954",4,11,5,4,"2015-11-05","WN",19393,1863,"MCO","FL",1515,1518,3,3,0,0,"1500-1559",8,1526,1717,5,1730,1722,0,0,-1,"1700-1759",0,"",0,135,124,111,834,4,0,0
"9955",4,11,5,4,"2015-11-05","WN",19393,2580,"MCO","FL",2215,2244,29,29,1,1,"2200-2259",7,2251,41,6,30,47,17,1,1,"0001-0559",0,"",0,135,123,110,834,4,0,1
"9956",4,11,5,4,"2015-11-05","WN",19393,1035,"MDW","IL",1555,1552,-3,0,0,-1,"1500-1559",13,1605,1759,7,1810,1806,0,0,-1,"1800-1859",0,"",0,75,74,54,402,2,0,0
"9957",4,11,5,4,"2015-11-05","WN",19393,1224,"MDW","IL",2240,2254,14,14,0,0,"2200-2259",8,2302,56,7,100,103,3,0,0,"0001-0559",0,"",0,80,69,54,402,2,0,1
"9958",4,11,5,4,"2015-11-05","WN",19393,1541,"MDW","IL",650,645,-5,0,0,-1,"0600-0659",13,658,855,6,910,901,0,0,-1,"0900-0959",0,"",0,80,76,57,402,2,1,1
"9959",4,11,5,4,"2015-11-05","WN",19393,1598,"MDW","IL",1145,1142,-3,0,0,-1,"1100-1159",11,1153,1348,6,1400,1354,0,0,-1,"1400-1459",0,"",0,75,72,55,402,2,1,0
"9960",4,11,5,4,"2015-11-05","WN",19393,1603,"MDW","IL",2005,2000,-5,0,0,-1,"2000-2059",14,2014,2209,5,2225,2214,0,0,-1,"2200-2259",0,"",0,80,74,55,402,2,0,0
"9961",4,11,5,4,"2015-11-05","WN",19393,1729,"MDW","IL",1745,1830,45,45,1,3,"1700-1759",15,1845,2039,5,2000,2044,44,1,2,"2000-2059",0,"",0,75,74,54,402,2,0,0
"9962",4,11,5,4,"2015-11-05","WN",19393,136,"PHX","AZ",1430,1430,0,0,0,0,"1400-1459",10,1440,1948,9,2020,1957,0,0,-2,"2000-2059",0,"",0,230,207,188,1814,8,0,0
"9963",4,11,6,5,"2015-11-06","WN",19393,2300,"FLL","FL",1515,1514,-1,0,0,-1,"1500-1559",14,1528,1738,6,1755,1744,0,0,-1,"1700-1759",0,"",0,160,150,130,994,4,0,0
"9964",4,11,6,5,"2015-11-06","WN",19393,2902,"HOU","TX",1350,1437,47,47,1,3,"1300-1359",8,1445,1751,7,1725,1758,33,1,2,"1700-1759",0,"",0,155,141,126,1131,5,0,0
"9965",4,11,6,5,"2015-11-06","WN",19393,783,"LAS","NV",820,907,47,47,1,3,"0800-0859",28,935,1559,6,1525,1605,40,1,2,"1500-1559",0,"",0,245,238,204,1910,8,1,0
"9966",4,11,6,5,"2015-11-06","WN",19393,2537,"LAS","NV",1845,1856,11,11,0,0,"1800-1859",11,1907,133,8,145,141,0,0,-1,"0001-0559",0,"",0,240,225,206,1910,8,0,1
"9967",4,11,5,4,"2015-11-05","WN",19393,783,"LAS","NV",820,833,13,13,0,0,"0800-0859",13,846,1510,6,1525,1516,0,0,-1,"1500-1559",0,"",0,245,223,204,1910,8,1,0
"9968",4,11,5,4,"2015-11-05","WN",19393,2537,"LAS","NV",1845,1845,0,0,0,0,"1800-1859",11,1856,117,10,145,127,0,0,-2,"0001-0559",0,"",0,240,222,201,1910,8,0,1
"9969",4,11,6,5,"2015-11-06","WN",19393,212,"BNA","TN",2220,2318,58,58,1,3,"2200-2259",7,2325,121,11,40,132,52,1,3,"0001-0559",0,"",0,80,74,56,462,2,0,1
"9970",4,11,6,5,"2015-11-06","WN",19393,870,"BWI","MD",1510,1549,39,39,1,2,"1500-1559",10,1559,1638,6,1610,1644,34,1,2,"1600-1659",0,"",0,60,55,39,210,1,0,0
"9971",4,11,6,5,"2015-11-06","WN",19393,1002,"BWI","MD",2230,2228,-2,0,0,-1,"2200-2259",32,2300,2338,6,2330,2344,14,0,0,"2300-2359",0,"",0,60,76,38,210,1,0,0
"9972",4,11,6,5,"2015-11-06","WN",19393,2250,"BWI","MD",1105,1106,1,1,0,0,"1100-1159",9,1115,1156,6,1200,1202,2,0,0,"1200-1259",0,"",0,55,56,41,210,1,1,0
"9973",4,11,6,5,"2015-11-06","WN",19393,2124,"DAL","TX",2005,2130,85,85,1,5,"2000-2059",16,2146,46,6,2340,52,72,1,4,"2300-2359",0,"",0,155,142,120,1060,5,0,0
"9974",4,11,6,5,"2015-11-06","WN",19393,600,"DEN","CO",1800,1817,17,17,1,1,"1800-1859",10,1827,2249,5,2255,2254,0,0,-1,"2200-2259",0,"",0,175,157,142,1290,6,0,0
"9975",4,11,6,5,"2015-11-06","WN",19393,3029,"TPA","FL",1000,957,-3,0,0,-1,"1000-1059",10,1007,1202,5,1215,1207,0,0,-1,"1200-1259",0,"",0,135,130,115,873,4,1,0
"9976",4,11,6,5,"2015-11-06","WN",19393,3174,"TPA","FL",1815,1846,31,31,1,2,"1800-1859",14,1900,2049,7,2035,2056,21,1,1,"2000-2059",0,"",0,140,130,109,873,4,0,0
"10003",4,11,3,2,"2015-11-03","WN",19393,669,"RSW","FL",1445,1441,-4,0,0,-1,"1400-1459",17,1458,1708,3,1710,1711,1,0,0,"1700-1759",0,"",0,145,150,130,966,4,0,0
"10004",4,11,4,3,"2015-11-04","WN",19393,136,"PHX","AZ",1430,1430,0,0,0,0,"1400-1459",14,1444,2002,5,2020,2007,0,0,-1,"2000-2059",0,"",0,230,217,198,1814,8,0,0
"10031",4,11,4,3,"2015-11-04","WN",19393,669,"RSW","FL",1445,1441,-4,0,0,-1,"1400-1459",8,1449,1652,6,1710,1658,0,0,-1,"1700-1759",0,"",0,145,137,123,966,4,0,0
"10032",4,11,7,6,"2015-11-07","WN",19393,554,"MCO","FL",1705,1703,-2,0,0,-1,"1700-1759",7,1710,1857,7,1920,1904,0,0,-2,"1900-1959",0,"",0,135,121,107,834,4,0,0
"10033",4,11,7,6,"2015-11-07","WN",19393,758,"MCO","FL",2050,2126,36,36,1,2,"2000-2059",10,2136,2323,6,2305,2329,24,1,1,"2300-2359",0,"",0,135,123,107,834,4,0,0
"10034",4,11,7,6,"2015-11-07","WN",19393,3547,"MCO","FL",1315,1310,-5,0,0,-1,"1300-1359",10,1320,1508,6,1530,1514,0,0,-2,"1500-1559",0,"",0,135,124,108,834,4,0,0
"10035",4,11,7,6,"2015-11-07","WN",19393,3755,"MCO","FL",740,734,-6,0,0,-1,"0700-0759",12,746,932,5,955,937,0,0,-2,"0900-0959",0,"",0,135,123,106,834,4,1,1
"10036",4,11,7,6,"2015-11-07","WN",19393,4045,"MCO","FL",1105,1102,-3,0,0,-1,"1100-1159",7,1109,1255,7,1320,1302,0,0,-2,"1300-1359",0,"",0,135,120,106,834,4,1,0
"10037",4,11,7,6,"2015-11-07","WN",19393,274,"MDW","IL",1635,1715,40,40,1,2,"1600-1659",9,1724,1921,7,1850,1928,38,1,2,"1800-1859",0,"",0,75,73,57,402,2,0,0
"10038",4,11,7,6,"2015-11-07","WN",19393,1934,"MDW","IL",800,758,-2,0,0,-1,"0800-0859",11,809,1002,6,1015,1008,0,0,-1,"1000-1059",0,"",0,75,70,53,402,2,1,1
"10039",4,11,7,6,"2015-11-07","WN",19393,3334,"MDW","IL",1345,1340,-5,0,0,-1,"1300-1359",9,1349,1539,4,1605,1543,0,0,-2,"1600-1659",0,"",0,80,63,50,402,2,0,0
"10040",4,11,7,6,"2015-11-07","WN",19393,3767,"MDW","IL",1920,1923,3,3,0,0,"1900-1959",16,1939,2132,6,2140,2138,0,0,-1,"2100-2159",0,"",0,80,75,53,402,2,0,0
"10041",4,11,6,5,"2015-11-06","WN",19393,379,"MCO","FL",940,933,-7,0,0,-1,"0900-0959",10,943,1131,5,1155,1136,0,0,-2,"1100-1159",0,"",0,135,123,108,834,4,1,1
"10042",4,11,6,5,"2015-11-06","WN",19393,1665,"MCO","FL",2025,2021,-4,0,0,-1,"2000-2059",12,2033,2221,7,2240,2228,0,0,-1,"2200-2259",0,"",0,135,127,108,834,4,0,0
"10043",4,11,6,5,"2015-11-06","WN",19393,1863,"MCO","FL",1515,1538,23,23,1,1,"1500-1559",15,1553,1740,5,1730,1745,15,1,1,"1700-1759",0,"",0,135,127,107,834,4,0,0
"10044",4,11,6,5,"2015-11-06","WN",19393,2580,"MCO","FL",2215,2205,-10,0,0,-1,"2200-2259",9,2214,2356,5,30,1,0,0,-2,"0001-0559",0,"",0,135,116,102,834,4,0,1
"10045",4,11,7,6,"2015-11-07","WN",19393,1753,"DAL","TX",1900,1915,15,15,1,1,"1900-1959",8,1923,2220,7,2235,2227,0,0,-1,"2200-2259",0,"",0,155,132,117,1060,5,0,0
"10046",4,11,7,6,"2015-11-07","WN",19393,3691,"DEN","CO",1725,1718,-7,0,0,-1,"1700-1759",13,1731,2205,5,2215,2210,0,0,-1,"2200-2259",0,"",0,170,172,154,1290,6,0,0
"10047",4,11,7,6,"2015-11-07","WN",19393,1296,"FLL","FL",1200,1205,5,5,0,0,"1200-1259",19,1224,1430,7,1445,1437,0,0,-1,"1400-1459",0,"",0,165,152,126,994,4,0,0
"10048",4,11,7,6,"2015-11-07","WN",19393,3714,"FLL","FL",1900,1855,-5,0,0,-1,"1900-1959",17,1912,2119,6,2140,2125,0,0,-1,"2100-2159",0,"",0,160,150,127,994,4,0,0
"10049",4,11,7,6,"2015-11-07","WN",19393,1924,"HOU","TX",1050,1048,-2,0,0,-1,"1000-1059",13,1101,1405,6,1425,1411,0,0,-1,"1400-1459",0,"",0,155,143,124,1131,5,1,0
"10050",4,11,7,6,"2015-11-07","WN",19393,3643,"LAS","NV",1305,1303,-2,0,0,-1,"1300-1359",12,1315,1959,5,2010,2004,0,0,-1,"2000-2059",0,"",0,245,241,224,1910,8,0,0
"10051",4,11,8,7,"2015-11-08","WN",19393,2124,"DAL","TX",2005,2003,-2,0,0,-1,"2000-2059",36,2039,2346,5,2340,2351,11,0,0,"2300-2359",0,"",0,155,168,127,1060,5,0,0
"10052",4,11,8,7,"2015-11-08","WN",19393,600,"DEN","CO",1800,1754,-6,0,0,-1,"1800-1859",9,1803,2246,6,2255,2252,0,0,-1,"2200-2259",0,"",0,175,178,163,1290,6,0,0
"10053",4,11,7,6,"2015-11-07","WN",19393,716,"ATL","GA",845,840,-5,0,0,-1,"0800-0859",12,852,958,6,1025,1004,0,0,-2,"1000-1059",0,"",0,100,84,66,526,3,1,1
"10054",4,11,7,6,"2015-11-07","WN",19393,2023,"ATL","GA",2125,2121,-4,0,0,-1,"2100-2159",15,2136,2241,6,2305,2247,0,0,-2,"2300-2359",0,"",0,100,86,65,526,3,0,0
"10055",4,11,7,6,"2015-11-07","WN",19393,2211,"BNA","TN",1750,1911,81,81,1,5,"1700-1759",9,1920,2120,7,2010,2127,77,1,5,"2000-2059",0,"",0,80,76,60,462,2,0,0
"10056",4,11,7,6,"2015-11-07","WN",19393,2085,"BWI","MD",1010,1005,-5,0,0,-1,"1000-1059",12,1017,1057,7,1110,1104,0,0,-1,"1100-1159",0,"",0,60,59,40,210,1,1,1
"10057",4,11,7,6,"2015-11-07","WN",19393,2835,"BWI","MD",1425,1423,-2,0,0,-1,"1400-1459",11,1434,1512,6,1525,1518,0,0,-1,"1500-1559",0,"",0,60,55,38,210,1,0,0
"10058",4,11,7,6,"2015-11-07","WN",19393,3637,"BWI","MD",2100,2109,9,9,0,0,"2100-2159",18,2127,2206,6,2200,2212,12,0,0,"2200-2259",0,"",0,60,63,39,210,1,0,0
"10059",4,11,7,6,"2015-11-07","WN",19393,1573,"TPA","FL",1325,1320,-5,0,0,-1,"1300-1359",8,1328,1518,8,1540,1526,0,0,-1,"1500-1559",0,"",0,135,126,110,873,4,0,0
"10060",4,11,7,6,"2015-11-07","WN",19393,2705,"TPA","FL",655,652,-3,0,0,-1,"0600-0659",8,700,851,5,910,856,0,0,-1,"0900-0959",0,"",0,135,124,111,873,4,1,1
"10061",4,11,8,7,"2015-11-08","WN",19393,111,"ATL","GA",830,825,-5,0,0,-1,"0800-0859",9,834,944,6,1010,950,0,0,-2,"1000-1059",0,"",0,100,85,70,526,3,1,1
"10062",4,11,8,7,"2015-11-08","WN",19393,229,"ATL","GA",2235,2302,27,27,1,1,"2200-2259",17,2319,24,5,15,29,14,0,0,"0001-0559",0,"",0,100,87,65,526,3,0,1
"10063",4,11,8,7,"2015-11-08","WN",19393,212,"BNA","TN",2220,2234,14,14,0,0,"2200-2259",6,2240,41,6,40,47,7,0,0,"0001-0559",0,"",0,80,73,61,462,2,0,1
"10064",4,11,8,7,"2015-11-08","WN",19393,1002,"BWI","MD",2230,2223,-7,0,0,-1,"2200-2259",13,2236,2310,7,2330,2317,0,0,-1,"2300-2359",0,"",0,60,54,34,210,1,0,0
"10065",4,11,8,7,"2015-11-08","WN",19393,2250,"BWI","MD",1105,1057,-8,0,0,-1,"1100-1159",16,1113,1148,5,1200,1153,0,0,-1,"1200-1259",0,"",0,55,56,35,210,1,1,0
"10066",4,11,8,7,"2015-11-08","WN",19393,5623,"BWI","MD",1510,1506,-4,0,0,-1,"1500-1559",12,1518,1554,4,1610,1558,0,0,-1,"1600-1659",0,"",0,60,52,36,210,1,0,0
"10067",4,11,7,6,"2015-11-07","WN",19393,3517,"PHX","AZ",1350,1345,-5,0,0,-1,"1300-1359",10,1355,1916,7,1940,1923,0,0,-2,"1900-1959",0,"",0,230,218,201,1814,8,0,0
"10093",4,11,7,6,"2015-11-07","WN",19393,1902,"RSW","FL",1855,2228,213,213,1,12,"1800-1859",10,2238,37,7,2125,44,199,1,12,"2100-2159",0,"",0,150,136,119,966,4,0,0
"10094",4,11,8,7,"2015-11-08","WN",19393,379,"MCO","FL",940,937,-3,0,0,-1,"0900-0959",9,946,1136,7,1155,1143,0,0,-1,"1100-1159",0,"",0,135,126,110,834,4,1,1
"10095",4,11,8,7,"2015-11-08","WN",19393,1665,"MCO","FL",2025,2023,-2,0,0,-1,"2000-2059",6,2029,2214,5,2240,2219,0,0,-2,"2200-2259",0,"",0,135,116,105,834,4,0,0
